name,category,kind,cand_isin,isin_confident,ft_hist_url,ft_search_url,fundinfo_url,wallstreet_url,note,investing_status,investing_search,investing_search_url,investing_url,investing_note
BBVA IDAD GLOBAL MARKETS CLASSIC AUTOCALL JULY 2021 USD USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=BBVA%20IDAD%20GLOBAL%20MARKETS%20CLASSIC%20AUTOCALL%20JULY%202021%20USD%20USD,https://www.fundinfo.com/en/search?query=BBVA%20IDAD%20GLOBAL%20MARKETS%20CLASSIC%20AUTOCALL%20JULY%202021%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%20IDAD%20GLOBAL%20MARKETS%20CLASSIC%20AUTOCALL%20JULY%202021%20USD%20USD,免费源无解,不适用-非基金,,,,债券/结构性，investing 无此产品
BBVA KYTE GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=BBVA%20KYTE%20GLOBAL%20MARKETS%20QTLY%20PHOENIX%20AC%20WITH%20MEM%20USD%20USD,https://www.fundinfo.com/en/search?query=BBVA%20KYTE%20GLOBAL%20MARKETS%20QTLY%20PHOENIX%20AC%20WITH%20MEM%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%20KYTE%20GLOBAL%20MARKETS%20QTLY%20PHOENIX%20AC%20WITH%20MEM%20USD%20USD,免费源无解,不适用-非基金,,,,债券/结构性，investing 无此产品
BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 USD,GLOBAL,基金,LU0425308086:USD,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU0425308086:USD,https://markets.ft.com/data/search?query=BLACKROCK%20%28LUX%29%20SA%20BGF%20GLOBAL%20INFL%20L%20A2%20USD,https://www.fundinfo.com/en/search?query=BLACKROCK%20%28LUX%29%20SA%20BGF%20GLOBAL%20INFL%20L%20A2%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BLACKROCK%20%28LUX%29%20SA%20BGF%20GLOBAL%20INFL%20L%20A2%20USD,人工搜索确认份额/币种后下载,有,BlackRock Global Inflation Linked Bond,https://www.investing.com/search/?q=BlackRock%20Global%20Inflation%20Linked%20Bond,https://www.investing.com/funds/global-inflation-linked-bond-fund-x-company-profile,家族已确认（E2/X2 等）；选 A2 USD 份额下载
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP A2 USD USD,GLOBAL,基金,LU0278466700:USD,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU0278466700:USD,https://markets.ft.com/data/search?query=BLACKROCK%20%28LUX%29%20SA%20FIXED%20INCOME%20GLOBAL%20OPP%20A2%20USD%20USD,https://www.fundinfo.com/en/search?query=BLACKROCK%20%28LUX%29%20SA%20FIXED%20INCOME%20GLOBAL%20OPP%20A2%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BLACKROCK%20%28LUX%29%20SA%20FIXED%20INCOME%20GLOBAL%20OPP%20A2%20USD%20USD,人工搜索确认份额/币种后下载,有,BlackRock Fixed Income Global Opportunities,https://www.investing.com/search/?q=BlackRock%20Fixed%20Income%20Global%20Opportunities,https://fi.investing.com/funds/blackrock-fixed-income-globl-opp-a2-company-profile,A2=0P00008FSR；确认 USD 份额
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPPS D5 USD,GLOBAL,基金,LU0737136415:USD,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU0737136415:USD,https://markets.ft.com/data/search?query=BLACKROCK%20%28LUX%29%20SA%20FIXED%20INCOME%20GLOBAL%20OPPS%20D5%20USD,https://www.fundinfo.com/en/search?query=BLACKROCK%20%28LUX%29%20SA%20FIXED%20INCOME%20GLOBAL%20OPPS%20D5%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BLACKROCK%20%28LUX%29%20SA%20FIXED%20INCOME%20GLOBAL%20OPPS%20D5%20USD,人工搜索确认份额/币种后下载,需核,BlackRock Fixed Income Global Opportunities D5,https://www.investing.com/search/?q=BlackRock%20Fixed%20Income%20Global%20Opportunities%20D5,,家族已确认（A2/C2）；D5 USD 份额需在 investing 内核对
CAPITAL CITIGROUP GLOBAL MARKETS FUNDING MEMORY COUPON USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAPITAL%20CITIGROUP%20GLOBAL%20MARKETS%20FUNDING%20MEMORY%20COUPON%20USD,https://www.fundinfo.com/en/search?query=CAPITAL%20CITIGROUP%20GLOBAL%20MARKETS%20FUNDING%20MEMORY%20COUPON%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAPITAL%20CITIGROUP%20GLOBAL%20MARKETS%20FUNDING%20MEMORY%20COUPON%20USD,人工搜索确认份额/币种后下载,不适用,,,,结构化票据，investing 无此产品
CAUSEWAY BBVA GLOBAL QUAD INCOME USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BBVA%20GLOBAL%20QUAD%20INCOME%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BBVA%20GLOBAL%20QUAD%20INCOME%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BBVA%20GLOBAL%20QUAD%20INCOME%20USD,人工搜索确认份额/币种后下载,不适用,,,,结构化票据，investing 无此产品
CAUSEWAY BBVA GLOBAL QUAD PHOENIX NOTE 2 USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BBVA%20GLOBAL%20QUAD%20PHOENIX%20NOTE%202%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BBVA%20GLOBAL%20QUAD%20PHOENIX%20NOTE%202%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BBVA%20GLOBAL%20QUAD%20PHOENIX%20NOTE%202%20USD,免费源无解,不适用-非基金,,,,债券/结构性，investing 无此产品
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 3 USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%203%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%203%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%203%20USD,人工搜索确认份额/币种后下载,不适用,,,,结构化票据，investing 无此产品
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 4 USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%204%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%204%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%204%20USD,人工搜索确认份额/币种后下载,不适用,,,,结构化票据，investing 无此产品
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 7 USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%207%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%207%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%207%20USD,人工搜索确认份额/币种后下载,不适用,,,,结构化票据，investing 无此产品
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 8 USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%208%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%208%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%208%20USD,人工搜索确认份额/币种后下载,不适用,,,,结构化票据，investing 无此产品
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 9 USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%209%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%209%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%209%20USD,人工搜索确认份额/币种后下载,不适用,,,,结构化票据，investing 无此产品
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%20USD,人工搜索确认份额/币种后下载,不适用,,,,结构化票据，investing 无此产品
CAUSEWAY MORGAN STANLEY GLOBAL MARKETS INCOME NOTE USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20MORGAN%20STANLEY%20GLOBAL%20MARKETS%20INCOME%20NOTE%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20MORGAN%20STANLEY%20GLOBAL%20MARKETS%20INCOME%20NOTE%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20MORGAN%20STANLEY%20GLOBAL%20MARKETS%20INCOME%20NOTE%20USD,人工搜索确认份额/币种后下载,不适用,,,,结构化票据，investing 无此产品
CAUSEWAY NATIXIS GLOBAL MARKETS INCOME AUTOCALL NOTE USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20NATIXIS%20GLOBAL%20MARKETS%20INCOME%20AUTOCALL%20NOTE%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20NATIXIS%20GLOBAL%20MARKETS%20INCOME%20AUTOCALL%20NOTE%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20NATIXIS%20GLOBAL%20MARKETS%20INCOME%20AUTOCALL%20NOTE%20USD,免费源无解,不适用-非基金,,,,债券/结构性，investing 无此产品
CELERITY GLOBAL BALANCED FUND IC A ACC USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CELERITY%20GLOBAL%20BALANCED%20FUND%20IC%20A%20ACC%20USD,https://www.fundinfo.com/en/search?query=CELERITY%20GLOBAL%20BALANCED%20FUND%20IC%20A%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CELERITY%20GLOBAL%20BALANCED%20FUND%20IC%20A%20ACC%20USD,人工搜索确认份额/币种后下载,无,,,,未找到（只有 Celerius，非同一基金）
COMMERZBANK GLOBAL INDEX INCOME BUILDER 70-70 NOV 18 USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=COMMERZBANK%20GLOBAL%20INDEX%20INCOME%20BUILDER%2070-70%20NOV%2018%20USD,https://www.fundinfo.com/en/search?query=COMMERZBANK%20GLOBAL%20INDEX%20INCOME%20BUILDER%2070-70%20NOV%2018%20USD,https://www.wallstreet-online.de/suche?suchbegriff=COMMERZBANK%20GLOBAL%20INDEX%20INCOME%20BUILDER%2070-70%20NOV%2018%20USD,人工搜索确认份额/币种后下载,不适用,,,,结构化票据，investing 无此产品
CT MGMT AMERICAN 3U USD ACC USD,AMERICAN,基金,LU1864949380:USD,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU1864949380:USD,https://markets.ft.com/data/search?query=CT%20MGMT%20AMERICAN%203U%20USD%20ACC%20USD,https://www.fundinfo.com/en/search?query=CT%20MGMT%20AMERICAN%203U%20USD%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CT%20MGMT%20AMERICAN%203U%20USD%20ACC%20USD,人工搜索确认份额/币种后下载,无,,,,ISIN LU1864949380 investing 未收录；investing 只有 CT (Lux) American Smaller Companies 系列
CTF GLOBAL EQUITY AUTOCALL 14 USD USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=CTF%20GLOBAL%20EQUITY%20AUTOCALL%2014%20USD%20USD,https://www.fundinfo.com/en/search?query=CTF%20GLOBAL%20EQUITY%20AUTOCALL%2014%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CTF%20GLOBAL%20EQUITY%20AUTOCALL%2014%20USD%20USD,免费源无解,不适用-非基金,,,,债券/结构性，investing 无此产品
CTMGMT LUX AMERICAN AU USD ACC USD,AMERICAN,基金,,,,https://markets.ft.com/data/search?query=CTMGMT%20LUX%20AMERICAN%20AU%20USD%20ACC%20USD,https://www.fundinfo.com/en/search?query=CTMGMT%20LUX%20AMERICAN%20AU%20USD%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CTMGMT%20LUX%20AMERICAN%20AU%20USD%20ACC%20USD,人工搜索确认份额/币种后下载,需核,CT (Lux) American,https://www.investing.com/search/?q=CT%20%28Lux%29%20American,https://se.investing.com/funds/lu1878469607-company-profile,家族已确认（American Smaller Companies 系列）；'American AU' 份额需核对
FINCREST GLOBAL EQUITY FUND CLASS A USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FINCREST%20GLOBAL%20EQUITY%20FUND%20CLASS%20A%20USD,https://www.fundinfo.com/en/search?query=FINCREST%20GLOBAL%20EQUITY%20FUND%20CLASS%20A%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FINCREST%20GLOBAL%20EQUITY%20FUND%20CLASS%20A%20USD,人工搜索确认份额/币种后下载,无,,,,未找到
FRANKLIN TEMP GLOBAL HI YLD MDIS \$ USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FRANKLIN%20TEMP%20GLOBAL%20HI%20YLD%20MDIS%20%5C%24%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMP%20GLOBAL%20HI%20YLD%20MDIS%20%5C%24%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMP%20GLOBAL%20HI%20YLD%20MDIS%20%5C%24%20USD,人工搜索确认份额/币种后下载,有,Franklin High Yield Fund,https://www.investing.com/search/?q=Franklin%20High%20Yield%20Fund,https://uk.investing.com/funds/lu0889566138-user-rankings,家族已确认（N(Mdis)USD=0P0000Y5Q7）；选 A(Mdis)USD 份额下载
FRANKLIN TEMP GLOBAL INC A ACC USD USD,GLOBAL,基金,LU3037667402:EUR,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU3037667402:EUR,https://markets.ft.com/data/search?query=FRANKLIN%20TEMP%20GLOBAL%20INC%20A%20ACC%20USD%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMP%20GLOBAL%20INC%20A%20ACC%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMP%20GLOBAL%20INC%20A%20ACC%20USD%20USD,人工搜索确认份额/币种后下载,有,Templeton Global Income Fund,https://www.investing.com/search/?q=Templeton%20Global%20Income%20Fund,https://hk.investing.com/funds/lu0976567544-company-profile,家族已确认（A(Mdis)SGD-H1=0P0000ZT9O）；选 A(acc)USD 份额下载
FRANKLIN TEMPL GLOBAL FOCUS FD A DIS USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FRANKLIN%20TEMPL%20GLOBAL%20FOCUS%20FD%20A%20DIS%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMPL%20GLOBAL%20FOCUS%20FD%20A%20DIS%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMPL%20GLOBAL%20FOCUS%20FD%20A%20DIS%20USD,人工搜索确认份额/币种后下载,无,,,,Franklin Global Focus 未找到
FRANKLIN TEMPLETON FRANKLIN MUT GLOBAL DVRY A CAP USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FRANKLIN%20TEMPLETON%20FRANKLIN%20MUT%20GLOBAL%20DVRY%20A%20CAP%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMPLETON%20FRANKLIN%20MUT%20GLOBAL%20DVRY%20A%20CAP%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMPLETON%20FRANKLIN%20MUT%20GLOBAL%20DVRY%20A%20CAP%20USD,人工搜索确认份额/币种后下载,有,Franklin Mutual Global Discovery,https://www.investing.com/search/?q=Franklin%20Mutual%20Global%20Discovery,https://cn.investing.com/funds/franklin-mutual-global-discovery-a-company-profile,US 份额 TEDIX/FMDRX 已确认；离岸 A(acc)USD 需核对
FRANKLIN TEMPLETON GLOBAL FOCUS A ACC USD,GLOBAL,基金,LU3037667402:EUR,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU3037667402:EUR,https://markets.ft.com/data/search?query=FRANKLIN%20TEMPLETON%20GLOBAL%20FOCUS%20A%20ACC%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMPLETON%20GLOBAL%20FOCUS%20A%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMPLETON%20GLOBAL%20FOCUS%20A%20ACC%20USD,人工搜索确认份额/币种后下载,无,,,,Franklin Global Focus 未找到
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN A MDIS USD USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FRANKLIN%20TEMPLETON%20GLOBAL%20TOTAL%20RETURN%20A%20MDIS%20USD%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMPLETON%20GLOBAL%20TOTAL%20RETURN%20A%20MDIS%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMPLETON%20GLOBAL%20TOTAL%20RETURN%20A%20MDIS%20USD%20USD,人工搜索确认份额/币种后下载,有,Templeton Global Total Return,https://www.investing.com/search/?q=Templeton%20Global%20Total%20Return,https://hk.investing.com/funds/t-global-total-return-fund-a-acc-us#1,A(acc)USD=0P00000HPA 已确认；选 A(Mdis)USD 份额下载
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN FUN A ACC USD USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=FRANKLIN%20TEMPLETON%20GLOBAL%20TOTAL%20RETURN%20FUN%20A%20ACC%20USD%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMPLETON%20GLOBAL%20TOTAL%20RETURN%20FUN%20A%20ACC%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMPLETON%20GLOBAL%20TOTAL%20RETURN%20FUN%20A%20ACC%20USD%20USD,人工搜索确认份额/币种后下载,有,Templeton Global Total Return,https://www.investing.com/search/?q=Templeton%20Global%20Total%20Return,https://hk.investing.com/funds/t-global-total-return-fund-a-acc-us#1,A(acc)USD=0P00000HPA，正好匹配
FRANKLIN TEMPLETON LATIN AMERICA A ACC USD,AMERICAN,基金,LU3037667402:EUR,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU3037667402:EUR,https://markets.ft.com/data/search?query=FRANKLIN%20TEMPLETON%20LATIN%20AMERICA%20A%20ACC%20USD,https://www.fundinfo.com/en/search?query=FRANKLIN%20TEMPLETON%20LATIN%20AMERICA%20A%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=FRANKLIN%20TEMPLETON%20LATIN%20AMERICA%20A%20ACC%20USD,人工搜索确认份额/币种后下载,有,Templeton Latin America,https://www.investing.com/search/?q=Templeton%20Latin%20America,https://hk.investing.com/funds/templeton-latin-americafund-aaccusd#1,A(acc)USD=0P00000B0V，正好匹配
