name,category,best_symbol,note
FRANKLIN TEMPLETON LATIN AMERICA A ACC USD,AMERICAN,TESR.SG,候选符号无价格数据
FTGF GBL BRANDYWNE GLOBAL FIXED INCOME A USD ACC USD,GLOBAL,,无Yahoo搜索结果
FTGF GBL W/A GLOBAL HIGH YIELD A USD ACC USD,GLOBAL,,无Yahoo搜索结果
GLOBAL X FDS GBL X FTSE ARGENT USD USD,GLOBAL,,无Yahoo搜索结果
GLOBAL X FDS GBL X ROBOTICS & ARTIFICIAL USD,GLOBAL,,无Yahoo搜索结果
GUINNESS GAM GLOBAL EQUITY INCOME INC D USD,GLOBAL,,无Yahoo搜索结果
HEPTAGON FUND KOPERNIK GLOBAL All-CAP EQUITY FUND ACC A USD,GLOBAL,,无Yahoo搜索结果
HEPTAGON FUND WCM GLOBAL EQTY A ACC USD,GLOBAL,,无Yahoo搜索结果
HSBC HLDGS 6.8 % NOTES 2022-01.06.38 GLOBAL USD,GLOBAL,,无Yahoo搜索结果
HSBC INV FD LUX SA GLOBAL EMG MKTS EQUITY A USD,GLOBAL,,无Yahoo搜索结果
IDAD NATIX GLOBAL MARKETS DEFENSIVE AUTOCALL USD,GLOBAL,,无Yahoo搜索结果
IDAD NATIXIS GLOBAL INDICES AC JULY 2026 USD,GLOBAL,,无Yahoo搜索结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC APRIL 2026 USD,GLOBAL,,无Yahoo搜索结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC DEC 2025 USD,GLOBAL,,无Yahoo搜索结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL JANUARY 2026 USD USD,GLOBAL,,无Yahoo搜索结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL MARCH 2026 USD,GLOBAL,,无Yahoo搜索结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL USD,GLOBAL,,无Yahoo搜索结果
IDAD NATIXIS GLOBAL MARKETS MEMORY INCOME AUTOCALL OCTOBER 2025 USD,GLOBAL,,无Yahoo搜索结果
IIF GLOBAL EQUITY B ACC USD,GLOBAL,,无Yahoo搜索结果
IIF GLOBAL EQUITY FUND CLASS A USD USD,GLOBAL,,无Yahoo搜索结果
INVESCO MANAGEMENT GLOBAL EQUITY INCOME A USD ACC NAV USD,GLOBAL,,无Yahoo搜索结果
INVESCO MANAGEMENT GLOBAL SMALL CAP EQUITY A USD,GLOBAL,,无Yahoo搜索结果
INVESCO SUSTAINABLE GLOBAL INCOME C HEDGED ACC USD,GLOBAL,,无Yahoo搜索结果
ISHARES II PLC GLOBAL SUSTAINABI UCITS USD,GLOBAL,,无Yahoo搜索结果
iShares Macquarie Global Infra USD,GLOBAL,,无Yahoo搜索结果
iShares S&P Global Water USD,GLOBAL,IQQQ.SG,候选符号无价格数据
ISHARES VI PLC GLOBAL AAA-AA GOV BND UCITS USD,GLOBAL,,无Yahoo搜索结果
JPM IF GLOBAL DIVIDEND C ACC USD,GLOBAL,,无Yahoo搜索结果
JPMF A JPMF AMERICA EQUITY A USD USD,AMERICAN,,无Yahoo搜索结果
JPMF AM GLOBAL EQUITY A DIST USD USD,GLOBAL,,无Yahoo搜索结果
JPMORGAN IF ASSET MGM GLOBAL BAL HGD A ACC USD USD,GLOBAL,,无Yahoo搜索结果
JPMORGAN IF ASSET MGM GLOBAL INCOME HEDGED A USD ACC NAV USD USD,GLOBAL,,无Yahoo搜索结果
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS A HGD USD,GLOBAL,,无Yahoo搜索结果
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS C USD ACC USD,GLOBAL,,无Yahoo搜索结果
JPMORGAN IF GLOBAL INCOME C DIS HDG USD,GLOBAL,,无Yahoo搜索结果
JSS EMERGINGSAR GLOBAL A DIST USD,GLOBAL,,无Yahoo搜索结果
JUPITER GLOBAL FUND EUROPEAN GTH L ACC USD USD,GLOBAL,FGV4.SG,候选符号无价格数据
JUPITER GLOBAL INDIA SEL L USD USD,GLOBAL,,无Yahoo搜索结果
KYTE BBVA 6Y GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,GLOBAL,,无Yahoo搜索结果
KYTE BBVA 6Y GLOBAL MARKETS QUARTERLY PHOENIX AC USD USD,GLOBAL,,无Yahoo搜索结果
LEVERAGE VANILLA GLOBAL BALANCED INVESTMENT ETP USD,GLOBAL,,无Yahoo搜索结果
M&G INVESTMENT MAN GLOBAL THEMES A USD ACC USD,GLOBAL,,无Yahoo搜索结果
M&G SECURITIES GLOBAL DIVIDEND A ACC USD,GLOBAL,,无Yahoo搜索结果
MARIANA BBVA GLOBAL MARKETS MEMORY INCOME GENERATOR 8560 USD,GLOBAL,,无Yahoo搜索结果
MARIANA GLOBAL GROWTH KICK OUT NOTE V2 USD,GLOBAL,,无Yahoo搜索结果
MARIANA GLOBAL MARKETS AUTOCALL NOTE USD,GLOBAL,,无Yahoo搜索结果
MARIANA INVESTEC GLOBAL INDEX INCOME BUILDER 65 USD,GLOBAL,,无Yahoo搜索结果
MARKET SEC BBVA 6Y 6% GLOBAL MARKETS QUARTERLY PHOENIX AUTO USD USD,GLOBAL,,无Yahoo搜索结果
MARKET SEC BBVA 6Y GLOBAL MARKETS QUARTERLY PHOENIX USD,GLOBAL,,无Yahoo搜索结果
MARKET SEC BNP GLOBAL MARKETS AC USD USD,GLOBAL,,无Yahoo搜索结果
MOMENTUM GF HARMONY GLOBAL EQUITY FUND A ACC USD,GLOBAL,,无Yahoo搜索结果
MOMENTUM GLOBAL GROWTH FUND CLASS A USD,GLOBAL,,无Yahoo搜索结果
MONTLAKE ORIEL LATITUDE GLOBAL FUNDS I USD ACC USD,GLOBAL,,无Yahoo搜索结果
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD,INTERNATIONAL,,无Yahoo搜索结果
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD,INTERNATIONAL,,无Yahoo搜索结果
MORGAN STANLEY GLOBAL BRANDS C USD,GLOBAL,MSJD.SG,候选符号无价格数据
NATIXIS IDAD GLOBAL MARKETS DEFENSIVE AUTOCALL FEBRUARY 2026 USD,GLOBAL,,无Yahoo搜索结果
NATIXIS INTL (LUX) HARRIS ASSOCS GLOBAL EQUITY I ACC USD,GLOBAL,,无Yahoo搜索结果
NEUBERGER BERMN II GLOBAL SNR FTG RTE INC I US USD,GLOBAL,,无Yahoo搜索结果
NEXT GEN INVT STRA MORNINGSTAR GLOBAL ADVENTUROUS A USD ACC USD,GLOBAL,,无Yahoo搜索结果
NEXT GEN INVT STRA MORNINGSTAR GLOBAL BALANCED A USD ACC USD,GLOBAL,,无Yahoo搜索结果
NEXT GEN INVT STRA MORNINGSTAR GLOBAL CAUTIOUS A USD ACC USD,GLOBAL,,无Yahoo搜索结果
NG MORNINGSTAR GLOBAL DEFENSIV A USD ACC USD,GLOBAL,,无Yahoo搜索结果
NG MORNINGSTAR GLOBAL GROWTH A USD ACC USD,GLOBAL,,无Yahoo搜索结果
NINETY ONE FD MGRS GLOBAL GOLD A USD ACC USD,GLOBAL,,无Yahoo搜索结果
NINETY ONE LUX S.A GLOBAL ENVIRONMENT A ACC USD,GLOBAL,,无Yahoo搜索结果
NINETY ONE PIF GLOBAL MACRO ALLOCATION FUND A ACC USD,GLOBAL,,无Yahoo搜索结果
NSF SICAV WEALTH DEFENDER GLOBAL EQUITY FUND C USD ACC USD,GLOBAL,,无Yahoo搜索结果
NSF WEALTH DEFENDER GLOBAL EQUITY A ACC USD,GLOBAL,,无Yahoo搜索结果
PICTET FUNDS GLOBAL MEGATREND SEL I USD ACC USD,GLOBAL,,无Yahoo搜索结果
PICTET FUNDS GLOBAL MEGATREND SELECTION P ACC USD USD,GLOBAL,,无Yahoo搜索结果
PIMCO GLOBAL ADVIS LOW DURATION REAL RTN INSTL USD,GLOBAL,,无Yahoo搜索结果
PIMCOG GLOBAL ADVIS INCOME PU INC USD,GLOBAL,,无Yahoo搜索结果
PROSPER FDS SICAV GLOBAL MACRO I USD,GLOBAL,,无Yahoo搜索结果
ROCQ CAPITAL BBVA 6Y GLOBAL MARKET IDX USD USD,GLOBAL,,无Yahoo搜索结果
RUSSELL OLD MUTUAL VALUE GLOBAL EQUITY E ACC USD,GLOBAL,,无Yahoo搜索结果
RUSSELL OPENWORLD GLOBAL HIGH DIVIDEND EQUITY I USD,GLOBAL,,无Yahoo搜索结果
SANDS CAPITAL FUND GLOBAL GROWTH A USD ACC USD,GLOBAL,,无Yahoo搜索结果
SCHRODER INV MGMT GLOBAL CLIMATE CHANGE EQUITY A ACC USD USD,GLOBAL,,无Yahoo搜索结果
SCHRODER INV MGMT GLOBAL HIGH YLD A USD ACC NAV USD,GLOBAL,,无Yahoo搜索结果
SCHRODER INV MGMT ISF GLOBAL REC C USD ACC USD,GLOBAL,,无Yahoo搜索结果
SCHRODER INV MGMT QEP GLOBAL ACTIVE VAL A ACC USD USD,GLOBAL,,无Yahoo搜索结果
SCHRODER INV MGMT QEP GLOBAL CORE C ACC USD,GLOBAL,,无Yahoo搜索结果
T ROWE GLOBAL FOCUSED GROWTH EQUITY Q USD USD,GLOBAL,,无Yahoo搜索结果
THREADNEEDLE LATIN AMERICAN NAV ACC USD,AMERICAN,,无Yahoo搜索结果
TITAN INTERNATIONAL SATELLITE EQUITY USD ACC USD,INTERNATIONAL,,无Yahoo搜索结果
UBS GLOBAL MARKETS QUARTERLY PHOENIX AUTOCALL WITH MEM USD USD,GLOBAL,,无Yahoo搜索结果
UNILEVER SHS SPONSORED AMERICAN DEPOSITARY SHARES REPR 1 SH USD,AMERICAN,,无Yahoo搜索结果
VANGUARD WHITEHALL INTERNATIONAL HIGH DIV YIEL USD,INTERNATIONAL,,无Yahoo搜索结果
VONTOBEL MGMT SA MIV GLOBAL MEDTECH P3 USD R USD,GLOBAL,,无Yahoo搜索结果
VULCAN GLOBAL VALU VALUE EQUITY USD II INC NAV USD,GLOBAL,,无Yahoo搜索结果
WISDOMTREE ISSUER GLOBAL DEV QUALITY DIV UCIT USD,GLOBAL,,无Yahoo搜索结果
