name,category,cand_isin,ft_name,yahoo_sym,yahoo_name,yahoo_rows,yahoo_cur,ft_confirmed,ft_page_name
COMMERZBANK GLOBAL INDEX INCOME BUILDER 70-70 NOV 18 USD,GLOBAL,,,,,0,,False,
CT MGMT AMERICAN 3U USD ACC USD,AMERICAN,GB0001529238:GBP,CT American Select Fund Retail Accumulation GBP,0P00000R0J.L,CT American Select Retail Acc GBP,3189,GBP,True,CT American Select Fund Retail Accumulation GBP
CTMGMT LUX AMERICAN AU USD ACC USD,AMERICAN,,,,,0,,False,
DELL INTERNATIONAL LLC USD,INTERNATIONAL,,,,,0,,False,
FINCREST GLOBAL EQUITY FUND CLASS A USD,GLOBAL,,,,,0,,False,
FRANKLIN TEMP GLOBAL HI YLD MDIS \$ USD,GLOBAL,LU2342990269:EUR,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares,0P0001P6OW.F,Franklin Tmpltn Dyn Opp Bshare,1003,EUR,True,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares
FRANKLIN TEMP GLOBAL INC A ACC USD USD,GLOBAL,LU2342990269:EUR,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares,0P0001P6OW.F,Franklin Tmpltn Dyn Opp Bshare,1003,EUR,True,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares
FRANKLIN TEMPL GLOBAL FOCUS FD A DIS USD,GLOBAL,LU2342990269:EUR,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares,0P0001P6OW.F,Franklin Tmpltn Dyn Opp Bshare,1003,EUR,True,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares
FRANKLIN TEMPLETON FRANKLIN MUT GLOBAL DVRY A CAP USD,GLOBAL,LU2342990269:EUR,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares,0P0001P6OW.F,Franklin Tmpltn Dyn Opp Bshare,1003,EUR,False,
FRANKLIN TEMPLETON GLOBAL FOCUS A ACC USD,GLOBAL,LU2342990269:EUR,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares,0P0001P6OW.F,Franklin Tmpltn Dyn Opp Bshare,1003,EUR,True,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN A MDIS USD USD,GLOBAL,LU2342990269:EUR,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares,0P0001P6OW.F,Franklin Tmpltn Dyn Opp Bshare,1003,EUR,True,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN FUN A ACC USD USD,GLOBAL,LU2342990269:EUR,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares,0P0001P6OW.F,Franklin Tmpltn Dyn Opp Bshare,1003,EUR,True,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares
FRANKLIN TEMPLETON LATIN AMERICA A ACC USD,AMERICAN,LU2342990269:EUR,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares,0P0001P6OW.F,Franklin Tmpltn Dyn Opp Bshare,1003,EUR,True,BCC INVESTMENT PARTNERS SICAV - FRANKLIN TEMPLETON DYNAMIC OPPORTUNITY B-Shares
FTGF GBL BRANDYWNE GLOBAL FIXED INCOME A USD ACC USD,GLOBAL,,,,,0,,False,
FTGF GBL W/A GLOBAL HIGH YIELD A USD ACC USD,GLOBAL,,,,,0,,False,
GLOBAL X FDS GBL X FTSE ARGENT USD USD,GLOBAL,,,,,0,,False,
GLOBAL X FDS GBL X ROBOTICS & ARTIFICIAL USD,GLOBAL,,,,,0,,False,
GUINNESS GAM GLOBAL EQUITY INCOME INC D USD,GLOBAL,,,,,0,,False,
IDAD NATIXIS GLOBAL INDICES AC JULY 2026 USD,GLOBAL,,,,,0,,False,
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC APRIL 2026 USD,GLOBAL,,,,,0,,False,
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC DEC 2025 USD,GLOBAL,,,,,0,,False,
INVESCO MANAGEMENT GLOBAL EQUITY INCOME A USD ACC NAV USD,GLOBAL,GB0032617523:GBP,Canlife Invesco UK Equity Income LS4,,,0,,True,Canlife Invesco UK Equity Income LS4
INVESCO MANAGEMENT GLOBAL SMALL CAP EQUITY A USD,GLOBAL,LU0028119526:JPY,Invesco Funds - Invesco Nippon Small/Mid Cap Equity Fund A Accumulation JPY,,,0,,True,Invesco Funds - Invesco Nippon Small/Mid Cap Equity Fund A Accumulation JPY
iShares Macquarie Global Infra USD,GLOBAL,,,,,0,,False,
JPM IF GLOBAL DIVIDEND C ACC USD,GLOBAL,,,,,0,,False,
JPMF A JPMF AMERICA EQUITY A USD USD,AMERICAN,,,,,0,,False,
JPMF AM GLOBAL EQUITY A DIST USD USD,GLOBAL,,,,,0,,False,
JPMORGAN IF ASSET MGM GLOBAL BAL HGD A ACC USD USD,GLOBAL,,,,,0,,False,
JPMORGAN IF ASSET MGM GLOBAL INCOME HEDGED A USD ACC NAV USD USD,GLOBAL,,,,,0,,False,
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS A HGD USD,GLOBAL,,,,,0,,False,
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS C USD ACC USD,GLOBAL,,,,,0,,False,
JPMORGAN IF GLOBAL INCOME C DIS HDG USD,GLOBAL,,,,,0,,False,
JSS EMERGINGSAR GLOBAL A DIST USD,GLOBAL,,,,,0,,False,
LEVERAGE VANILLA GLOBAL BALANCED INVESTMENT ETP USD,GLOBAL,,,,,0,,False,
MARIANA BBVA GLOBAL MARKETS MEMORY INCOME GENERATOR 8560 USD,GLOBAL,,,,,0,,False,
MARIANA GLOBAL GROWTH KICK OUT NOTE V2 USD,GLOBAL,,,,,0,,False,
MARIANA INVESTEC GLOBAL INDEX INCOME BUILDER 65 USD,GLOBAL,,,,,0,,False,
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD,INTERNATIONAL,LU2331752936:EUR,Montlake UCITS Platform-Velox Fund EUR Institutional C,0P0001N0KU.F,Montlake UCITS Velox Fund EUR Instl C,1132,EUR,True,Montlake UCITS Platform-Velox Fund EUR Institutional C
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD,INTERNATIONAL,LU2331752936:EUR,Montlake UCITS Platform-Velox Fund EUR Institutional C,0P0001N0KU.F,Montlake UCITS Velox Fund EUR Instl C,1132,EUR,True,Montlake UCITS Platform-Velox Fund EUR Institutional C
NATIXIS INTL (LUX) HARRIS ASSOCS GLOBAL EQUITY I ACC USD,GLOBAL,,,,,0,,False,
NEUBERGER BERMN II GLOBAL SNR FTG RTE INC I US USD,GLOBAL,,,,,0,,False,
NG MORNINGSTAR GLOBAL DEFENSIV A USD ACC USD,GLOBAL,,,,,0,,False,
NG MORNINGSTAR GLOBAL GROWTH A USD ACC USD,GLOBAL,,,,,0,,False,
PICTET FUNDS GLOBAL MEGATREND SEL I USD ACC USD,GLOBAL,LU0175074193:USD,Pictet-USD Short Mid-Term Bonds P dy,0P00000XWF,Pictet-USD Short Mid-Term Bonds P dy,1114,USD,True,Pictet-USD Short Mid-Term Bonds P dy
PICTET FUNDS GLOBAL MEGATREND SELECTION P ACC USD USD,GLOBAL,LU0175074193:USD,Pictet-USD Short Mid-Term Bonds P dy,,,0,,True,Pictet-USD Short Mid-Term Bonds P dy
PIMCOG GLOBAL ADVIS INCOME PU INC USD,GLOBAL,,,,,0,,False,
PROSPER FDS SICAV GLOBAL MACRO I USD,GLOBAL,,,,,0,,False,
RUSSELL OLD MUTUAL VALUE GLOBAL EQUITY E ACC USD,GLOBAL,,,,,0,,False,
RUSSELL OPENWORLD GLOBAL HIGH DIVIDEND EQUITY I USD,GLOBAL,,,,,0,,False,
SCHRODER INV MGMT QEP GLOBAL ACTIVE VAL A ACC USD USD,GLOBAL,LU2342991747:EUR,BCC Investment Partners SICAV - UBS Strategia Rendimento B-Shares Accumulating,0P0001P6P0.F,UBS Strategia Rendimento EUR B acc,1002,EUR,True,BCC Investment Partners SICAV - UBS Strategia Rendimento B-Shares Accumulating
THREADNEEDLE LATIN AMERICAN NAV ACC USD,AMERICAN,GB0030783509:GBP,OMR Threadneedle Latin America Pension,,,0,,True,OMR Threadneedle Latin America Pension
VONTOBEL MGMT SA MIV GLOBAL MEDTECH P3 USD R USD,GLOBAL,,,,,0,,False,
VULCAN GLOBAL VALU VALUE EQUITY USD II INC NAV USD,GLOBAL,,,,,0,,False,
