name,category,source,symbol,isin,yahoo_name,currency_ok,master_status,overlap,currency
S&P GLOBAL INC COM USD1 USD,GLOBAL,Yahoo按名称,SPGI,,S&P Global Inc.,True,有数据-确认,1.0,USD
SCHRODER INTL SEL GLOBAL MULTI-ASSET ALLOCATI USD,GLOBAL,Yahoo按名称,0P0000TY84,,SEB LI Schroder Intl Sel Global Eq USD,True,有数据-确认,0.57,USD
SUMITOMO MITSUI FINANCIAL 5.766 % MEDIUM TERM NOTES 2023-13.01.33 GLOBAL USD,GLOBAL,Yahoo按名称,SMFG,,"Sumitomo Mitsui Financial Group, Inc.",True,有数据-确认,0.75,USD
TOYOTA MOTOR CREDIT CORP 3.05 % MEDIUM TERM NOTES 2022-22.03.27 GLOBAL SER B USD,GLOBAL,Yahoo按名称,TM,,Toyota Motor Corporation,True,有数据-确认,1.0,USD
UBAM TECH GLOBAL LEADERS EQUITY IC USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001DZRW,LU1808465147,UBAM Tech Global Leaders Equity IC USD,True,有数据-确认,1.0,USD
UNITED STATES OF AMERICA 0 % TREASURY BILLS 2025-21.05.26 USD,AMERICAN,Yahoo按名称,USO,,"United States Oil Fund, LP",True,有数据-确认,0.5,USD
UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-21.07.26 USD,AMERICAN,Yahoo按名称,USO,,"United States Oil Fund, LP",True,有数据-确认,0.5,USD
UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-23.06.26 USD,AMERICAN,Yahoo按名称,USO,,"United States Oil Fund, LP",True,有数据-确认,0.5,USD
UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-23.07.26 USD,AMERICAN,Yahoo按名称,USO,,"United States Oil Fund, LP",True,有数据-确认,0.5,USD
UNITED STATES OF AMERICA 3.125 % TREASURY NOTES 2018-15.11.28 USD,AMERICAN,Yahoo按名称,USO,,"United States Oil Fund, LP",True,有数据-确认,0.5,USD
UNITED STATES OF AMERICA 3.5 % TREASURY NOTES 2023-15.02.33 USD,AMERICAN,Yahoo按名称,USO,,"United States Oil Fund, LP",True,有数据-确认,0.5,USD
UNITED STATES OF AMERICA 4.125 % TREASURY NOTES USD,AMERICAN,Yahoo按名称,USO,,"United States Oil Fund, LP",True,有数据-确认,0.5,USD
