
11/14/2017,0.101026,0.000000,0.122760,0.212644,-2.311217,-1.345593,1.124443,-2.197309,0.032204,0.052419,0.313620,-0.038695,1.066103,-0.690075,,0.244300,0.141849,0.065192,0.523173,0.112703,-0.054161,-3.911493,-0.130782,-0.277571,0.126976,0.000000,0.023653,-0.457370,0.000000,-0.090397,0.585334,-0.010021,-0.670018,-1.240909,0.265381,1.874086,-1.944293,0.684219,2.048193,-2.196837,0.045931,0.042824,0.108997,0.534714,0.000000,0.057025,0.159928,-1.983328,-0.907371,,0.348020,0.086433,-1.908754,-3.511738,0.352423,-0.303310,0.719446
11/13/2017,0.000000,0.000000,0.012293,0.053808,-0.460301,-0.305080,0.290460,-0.044823,0.032644,-0.456573,-0.592306,-0.372749,0.026690,-0.685003,,0.163132,-0.047222,-0.081424,0.239532,0.018828,0.000000,-1.823143,0.052340,0.185391,0.000000,0.009043,-0.011825,-0.616836,0.417962,0.288963,0.223448,-0.029787,-0.222842,-0.505020,0.051570,0.434342,-0.678307,-0.090967,0.120627,-0.350263,-0.068770,0.300509,-0.062273,0.209072,-0.049625,0.037949,-0.478050,-1.316904,0.516079,,0.571065,0.335579,0.422399,-1.671647,-0.158339,0.132048,0.430097
11/10/2017,-0.402125,0.021857,-0.403571,-0.106883,-0.457732,-0.182139,-2.050266,-0.312779,-0.097406,-0.260358,0.383319,-0.012894,0.178063,-1.503019,,-0.728745,-0.507753,-0.203147,-1.344671,-0.243561,-0.288214,-0.846155,-0.208924,1.031246,-0.468441,0.000000,-0.035607,-1.973429,0.576895,0.661671,-1.377492,-0.099415,1.492274,3.035489,-0.739097,-4.383964,4.528070,0.091050,0.181269,-0.349040,-0.433605,-1.146111,-0.310204,-1.379303,-0.049600,-0.189876,-0.176753,-0.180889,-0.154707,,1.023788,0.336709,-0.965027,-0.300551,-0.350631,0.384411,-1.948247
11/09/2017,-0.073028,-0.021852,-0.097855,-0.371164,-0.908067,0.182471,-0.325231,-0.753880,0.130188,0.000000,0.227313,0.348258,0.402207,-0.336388,,0.324939,-0.037571,0.008127,-0.338676,-0.065573,-0.089965,0.502516,-0.156448,0.046577,-0.018051,0.009157,-0.011820,-1.101674,-1.946319,-2.001027,-0.247392,0.010009,0.226680,0.435630,-0.160729,-0.823759,0.714084,0.457874,0.791717,0.438212,-0.091318,-0.359536,0.000000,-0.193012,0.033009,-0.113747,-0.053026,-0.348483,-0.851756,,-0.018607,0.152271,-1.862954,1.385077,0.973624,-0.919359,-0.486767
11/08/2017,-0.063932,0.000000,-0.073338,0.586946,0.609220,-0.182139,-0.316014,-0.132861,-0.032644,0.510157,-0.382634,0.414389,0.071638,0.646034,,0.407830,-0.122074,-0.073085,0.103064,-0.093519,0.027042,-0.077242,0.182856,0.188285,0.000000,0.000000,-0.011962,0.538232,0.230639,0.319587,-0.301261,-0.039754,0.272973,0.496187,-0.175051,-0.546191,0.719478,0.000000,0.244200,-0.696258,-0.147897,-0.179445,-0.046684,-0.243864,-0.032998,-0.056841,0.425731,-1.105415,0.102364,,1.090955,0.109053,-0.440432,-1.500703,-0.123762,-0.118064,-0.326249
11/07/2017,0.027390,0.000000,0.036682,-0.530867,-0.680537,-0.605362,0.627523,0.489542,-0.064816,-0.520510,-0.039033,-0.489660,-0.169664,-0.914322,,-0.406174,0.037656,-0.032472,0.488906,0.000000,0.252539,-0.154245,0.078428,0.046686,0.107936,-0.009156,-0.047538,-1.095470,-0.201351,-0.089638,0.384834,0.059533,-0.407257,-0.695525,0.109455,1.104447,-1.040564,-0.136742,-0.364964,-0.173762,-0.011436,-0.010518,0.000000,0.309052,0.000000,0.018788,0.035607,-1.046623,0.102469,,1.122219,-0.595512,-0.562335,-0.488783,-0.211715,0.223508,0.716085
11/06/2017,0.091424,0.021857,0.073418,0.587259,2.320151,1.911325,0.428572,-0.177699,0.032204,0.431297,0.770954,0.388140,0.017882,2.116936,,0.819001,0.122153,0.056858,0.521169,0.018755,0.099427,4.725353,-0.182665,-0.421108,0.199174,0.000000,0.059530,1.978742,1.292052,1.414688,0.414488,0.079619,-0.316346,-0.776262,0.182886,1.022774,-1.136928,0.229148,-0.182149,2.951699,0.068347,0.063303,0.015564,0.361837,0.016604,0.019036,0.624901,-0.665926,-0.424736,,-1.072549,0.730660,0.882938,4.186748,0.549938,-0.536158,0.550694
11/03/2017,0.091389,0.000000,0.085569,-0.531148,-0.154189,0.620024,0.413374,0.851254,0.097995,-0.906563,0.070903,0.363636,-0.480039,-0.925380,,-0.488998,0.160110,0.056890,0.104427,0.159193,0.144563,1.019992,0.026102,-0.047008,0.017620,0.000000,-0.059495,-1.694344,1.099853,1.769456,0.221407,-0.009885,-0.359328,-0.600363,0.175872,0.891164,-0.911895,-0.274439,-0.723327,1.728844,0.011445,0.222287,0.077684,0.284978,-0.016602,0.075956,-0.656394,2.026326,-0.050991,,0.018820,0.405183,-0.844291,1.347417,0.124334,-0.052281,0.374150
11/02/2017,0.054911,-0.021852,0.097912,0.213035,-0.077502,0.624635,0.670996,-0.623330,-0.097899,0.586167,-1.412669,0.443477,0.365788,0.934024,,0.163265,0.132050,0.073198,0.479275,0.009394,0.054269,0.122524,0.026109,-0.465204,0.253691,0.009157,0.023775,-0.685428,0.473660,0.494017,0.416780,0.039821,-0.447678,-0.821983,0.301297,1.282655,-1.479933,0.045941,0.606428,0.825688,0.056943,0.222782,0.171042,0.442540,0.016604,0.094852,0.320533,1.733888,-0.725566,,-0.244065,-0.749882,0.250514,-1.189756,0.000000,-0.039195,0.702151
11/01/2017,0.043972,0.010859,0.064998,-0.212582,1.289593,0.062059,0.753211,0.447227,0.045965,0.261137,-0.255478,0.261535,-0.258045,0.406435,,0.327600,0.060302,0.012250,0.360807,0.031924,-0.033385,0.990116,-0.049625,0.000000,0.007361,0.000000,-0.014263,0.156006,-0.265565,-0.364869,0.413118,0.012964,-0.356970,-0.871053,0.131758,1.396960,-1.201152,-0.273813,-0.482800,-0.274474,0.019455,0.084956,-0.062176,0.418260,-0.016602,-0.005622,0.224595,-1.398857,0.491742,,0.320184,0.032655,0.726566,2.975457,-1.245396,0.856503,0.499125
10/31/2017,-0.063854,0.021859,-0.060978,0.426980,0.313566,0.251081,0.128490,0.134348,-0.032637,-0.428752,0.544926,-0.623823,-0.080106,-1.478262,,-0.407830,-0.065847,-0.089298,0.105204,-0.028061,-0.027062,0.706285,0.208343,0.233414,-0.018154,0.000000,-0.059177,-0.866343,0.963646,0.799661,0.111389,0.019917,-0.044799,0.000000,-0.007367,0.000000,0.000000,-0.045794,-0.120555,0.551978,-0.090918,-0.031732,-0.061943,-0.039266,-0.032987,-0.018819,0.321153,-0.440394,0.272044,,0.835637,0.010650,-1.093162,1.570417,-0.436605,0.984697,0.129262
10/30/2017,0.274545,-0.021854,0.232671,-0.213035,-0.078212,0.250969,1.144031,-1.063358,0.097578,0.234426,0.634492,0.052035,0.491471,1.152518,,0.245298,0.359022,0.170661,0.832533,0.224874,0.117405,1.689899,-0.259539,-0.970506,0.399503,0.017978,0.047393,0.968354,0.039834,0.269050,0.843555,0.069558,-1.014701,-2.090730,0.576413,2.874100,-2.988878,0.457874,0.973828,0.276753,0.216319,0.435557,0.233120,0.947866,0.032998,0.208911,0.358052,0.250560,-0.473821,,-0.847387,-0.454439,-1.355611,1.138747,1.596877,-1.027262,1.691260
10/27/2017,0.220214,0.000000,0.221031,0.535128,-1.352299,0.504470,0.803841,0.848972,-0.064866,0.195714,-0.172008,0.208436,-0.391637,0.595348,,0.410509,0.322228,0.187391,0.731987,0.206712,0.018066,1.327054,0.260215,-0.642845,0.290989,-0.008932,0.071212,0.407933,2.007623,2.090925,0.593776,0.169501,-0.613898,-1.115204,0.311305,1.919215,-1.839875,-0.228414,-0.785024,2.554399,0.239671,0.587876,0.171326,0.569183,0.049625,0.152323,-0.053594,2.432538,-0.521451,,-0.858779,1.616610,-0.551479,2.930289,-0.511915,-0.524040,0.848316
10/26/2017,-0.109986,0.000000,-0.122680,-0.532279,-1.070444,0.443745,-0.296273,2.707664,0.097179,-0.519149,-0.775952,-0.415280,-1.343342,-1.481911,,-0.895037,-0.132534,-0.081395,-0.197962,-0.056454,-0.099262,0.042835,-0.026143,0.414896,-0.145530,0.008932,0.000000,-2.597216,0.540421,0.589009,-0.309958,-0.029871,0.307894,0.602117,-0.184992,-1.049505,0.852676,-1.084814,-2.816901,0.858779,-0.034317,-0.074902,-0.062350,-0.329777,-0.033209,-0.076226,-0.974663,-1.279188,1.329694,,0.074732,0.353148,-1.300105,0.527156,0.000000,0.540042,-0.466163
10/25/2017,-0.064176,0.000000,-0.085706,-0.265433,-1.543086,0.126838,-0.674718,-0.728929,-0.097085,-1.066324,0.947730,-0.925493,0.352455,-0.887439,,0.162999,-0.160700,-0.056915,-0.363940,-0.084308,-0.243163,-0.213690,-0.440344,0.369923,0.000000,-0.008932,-0.023780,-1.356152,-1.268154,-1.310607,-0.449282,0.019963,0.486036,0.966875,-0.243557,-1.428555,1.527428,0.180862,0.649734,-0.569260,-0.182114,-0.255456,-0.077731,-0.472812,-0.032993,-0.056831,-0.123680,-0.849500,-0.525608,,-0.279463,-0.384814,-1.047368,-0.860773,0.000000,-0.210305,-0.681397
10/24/2017,-0.210169,0.043728,-0.171278,-0.212019,0.834933,1.025870,-0.968286,-0.227273,0.032229,-0.371012,-0.560739,-0.294776,0.114614,-1.149279,,-0.486618,-0.301453,-0.121924,-0.422801,-0.215257,-0.099035,0.085534,-0.052029,0.418711,-0.253416,0.000000,-0.023774,-1.043848,0.607604,0.698607,-0.557930,-0.049815,0.667631,1.287542,-0.404255,-1.742530,1.814493,-0.090349,0.415184,1.151631,-0.170509,-0.233919,-0.139642,-0.509405,0.016602,-0.189729,-0.335138,-1.041831,0.562692,,-0.352737,0.242532,1.518819,0.061495,-0.351803,0.848356,-0.788656
10/23/2017,0.109805,-0.021859,0.085633,-0.474018,0.075835,0.000000,0.188855,0.502513,0.032669,-0.063974,0.124716,-0.191953,-0.228797,-0.631084,,0.243902,0.094402,0.081316,0.075665,0.084197,0.036097,-1.847166,0.052056,0.000000,0.126622,-0.009044,0.000000,0.720845,0.375895,0.492214,0.167551,0.039788,-0.133453,-0.418146,0.103013,0.340020,-0.464376,-0.090268,-0.648203,-0.095877,0.113697,0.117018,0.015410,0.130686,0.016399,0.075851,-0.351508,-1.354814,-0.186943,,-0.074205,-0.678578,-0.693789,-2.372380,-0.420389,-0.224838,0.112760
10/20/2017,-0.291958,0.021864,-0.244181,-0.052573,-0.264949,0.515197,-1.404965,1.061865,-0.064866,-0.723750,0.211059,-1.113247,-0.568784,-1.597336,,-0.726392,-0.413305,-0.235154,-0.987508,-0.140212,-0.143957,-0.791339,0.233517,0.937932,-0.289357,-0.009156,-0.059184,-1.362737,0.541746,0.512624,-1.105726,0.030017,0.942446,2.135026,-0.577919,-2.968925,3.194746,-0.628961,-0.991832,0.772947,-0.272350,-0.444810,-0.232361,-0.971557,-0.082339,-0.151717,-0.489756,-0.105024,0.858487,,-0.240821,0.241467,0.790603,0.482881,-0.850990,1.790522,-1.906529
10/19/2017,0.073161,0.000000,0.048860,0.000000,-0.714530,-0.449152,0.220499,-0.642202,0.097179,0.318428,-0.303889,-0.113679,0.395316,0.715077,,0.649878,0.103404,0.089229,0.285200,0.009397,0.027069,-1.355783,0.130186,-0.327283,0.072269,0.009157,0.059219,1.108167,-0.203907,-0.252723,0.249346,0.029892,-0.089550,-0.368743,0.131839,0.330959,-0.634893,0.270359,0.823529,-1.240458,0.113673,0.159113,0.108514,0.181648,0.065997,0.000000,0.052412,-0.603118,0.378936,,-0.533829,0.000000,0.488665,-0.629751,0.000000,-0.721732,0.633850
10/18/2017,-0.155034,0.000000,-0.158583,-0.053156,-0.523809,-0.063690,-0.941064,-0.456621,-0.032239,0.025492,0.132600,0.520796,0.228917,-0.914999,,-0.404531,-0.253220,-0.121599,-0.596616,-0.205457,-0.053997,-1.894423,-0.077880,0.516804,-0.126188,0.017978,-0.035432,-0.684040,0.368518,0.338169,-0.633615,-0.010052,0.676436,1.350918,-0.364989,-1.992607,2.162150,0.090023,0.235849,-0.095329,-0.170142,-0.243380,-0.154835,-0.670411,-0.032987,-0.132485,-0.504921,-0.587912,-0.240821,,-0.128689,-0.273676,0.460297,-0.950382,-1.234991,1.258628,-1.235078
10/17/2017,-0.036452,0.021869,0.012237,-0.209739,-1.547115,-0.127975,0.269617,0.458716,0.000000,-0.050957,-0.535355,-0.063534,-0.202063,-0.206366,,-0.722892,-0.037418,-0.048596,-0.238078,-0.037255,0.126002,-0.799690,-0.026096,0.047251,-0.072616,0.000000,0.011812,0.000000,-0.020506,-0.084520,0.137917,-0.079686,-0.134785,-0.315205,-0.021857,0.372106,-0.376770,-0.224818,-0.411039,0.286807,0.068134,0.000000,0.000000,0.193802,0.016394,-0.018783,0.052451,-0.207123,-0.256951,,-0.366337,0.054813,-0.122321,0.118894,-0.290747,0.081268,0.552832
10/16/2017,-0.100083,-0.021864,-0.097482,-0.157665,2.491560,0.256607,-0.067388,0.507146,0.000000,-0.456387,-0.294088,-0.328913,-0.245446,-1.935202,,-0.717703,-0.168504,-0.161856,-0.074239,-0.074574,0.090115,-0.239305,-0.155476,0.377256,-0.198317,0.000000,-0.094840,-2.068963,0.534892,0.472785,-0.041216,-0.129339,0.090116,0.316202,-0.153046,-0.185679,0.215690,-0.269267,-0.351083,0.867888,-0.147329,-0.347983,-0.231715,-0.129034,-0.115239,-0.094559,-0.139215,0.300063,-0.068582,,0.036647,0.131485,-0.700126,0.089295,0.533012,0.599537,-0.203725
10/13/2017,0.246348,0.000000,0.207619,1.114107,0.837475,0.972012,1.072300,0.184758,0.032250,0.740683,0.209390,-0.126355,-0.131372,-0.086518,,0.884956,0.338032,0.170247,0.477865,0.168042,0.090084,0.440694,0.103901,-0.934862,0.000000,0.000000,0.059328,-0.174336,0.683848,0.640380,0.651952,-0.039842,-0.716816,-1.500290,0.439141,2.230660,-2.164797,0.045075,-0.233508,1.368524,0.318346,0.562022,0.201263,0.675375,0.032966,0.132510,0.507040,-0.721743,0.481978,,0.183572,0.484609,1.232376,0.029804,0.000000,-0.609426,1.003166
10/12/2017,0.118722,0.043747,0.085507,-0.684672,0.806148,-0.129383,0.487402,0.650860,0.065402,0.448999,0.248685,-0.063070,-0.296734,-0.773281,,0.000000,0.093967,0.032476,0.601188,0.046814,0.072119,-1.732286,0.260215,0.046468,0.216905,0.009159,-0.011807,-0.116305,-0.206914,-0.316206,0.418016,0.029958,-0.445880,-0.925724,0.322962,1.152167,-1.302545,-0.223812,-0.638051,-1.254826,-0.022745,0.201886,0.108430,0.417297,0.016383,0.094774,-0.122316,-0.091568,0.189870,,0.424006,-0.667399,0.402272,-0.738789,0.000000,-0.552189,0.786452
10/11/2017,0.018277,0.000000,0.048908,0.422977,-0.268150,0.194836,0.265816,-0.875576,-0.032690,0.167101,0.163512,0.431080,0.429553,1.158890,,0.322841,0.113027,0.024265,0.346990,0.102880,0.072284,0.157735,0.025728,-0.186602,0.126770,0.027146,-0.011949,0.997470,0.708126,0.685620,0.181325,0.029833,-0.221920,-0.363384,0.029360,0.628034,-0.621652,0.359493,0.936768,0.778210,0.034051,0.021256,-0.030943,0.222289,-0.016380,0.075779,0.473786,-0.296741,0.051809,,0.203197,0.054813,0.779713,0.594563,0.000000,0.270088,0.268534
10/10/2017,0.009198,0.000000,0.048932,0.212245,0.499884,1.180488,0.404576,-1.093892,0.065424,0.322108,0.461465,0.267074,0.555296,-1.286855,,0.323887,0.037573,0.016245,0.622095,0.009397,-0.009021,-0.588000,0.208832,0.000000,0.162904,-0.018094,0.023760,-0.699212,0.512794,0.560275,0.195738,0.079662,-0.133394,-0.334464,0.095631,0.583082,-0.515017,0.496825,0.886001,2.800000,0.068305,0.117043,0.093109,0.156995,0.049370,0.000000,0.422737,-0.113904,0.069127,,0.876049,-0.098566,-0.588897,-0.148398,0.379703,-0.309639,0.286729
10/09/2017,0.137222,0.000000,0.097960,-0.159084,-0.989871,0.066014,0.267606,-0.318037,-0.032701,-0.141511,0.613765,-0.050729,0.132451,1.098443,,0.898693,0.113081,0.064922,0.136660,0.065463,0.081251,0.354049,0.026218,-0.279122,0.054659,0.018098,0.000000,1.000737,0.727264,0.763042,0.252609,-0.009907,-0.309940,-0.663824,0.206238,0.882370,-0.817621,0.226243,0.534442,0.300903,0.113971,0.213417,0.046576,0.209880,-0.016386,0.000000,0.035194,-0.668092,-0.017279,,-0.278736,-0.316123,-0.982517,0.327581,0.433351,-0.214938,0.296431
10/06/2017,-0.146219,-0.021869,-0.110123,-0.316549,-0.038235,-1.551354,-0.318433,-0.407240,0.032712,-0.256743,-0.399727,0.242023,0.265511,2.367519,,0.410172,-0.122364,-0.072997,-0.423697,-0.112234,-0.045119,-1.625398,-0.441603,0.279904,-0.126885,0.000000,-0.035555,0.890456,0.402203,0.392251,-0.209886,-0.010039,0.355174,0.724408,-0.205813,-0.874652,0.772366,0.090472,0.238095,-2.731707,-0.102548,-0.276628,-0.108625,-0.248592,-0.049543,-0.113540,0.035206,-0.214601,-0.224120,,-0.993710,0.119995,-0.912196,-2.241661,0.000000,-0.348059,-0.182722
10/05/2017,-0.045614,0.021873,-0.073255,-0.105201,1.664427,1.110922,-0.513550,1.051669,-0.032701,-0.840309,-1.047017,-0.720969,-0.510682,-1.544160,,-0.489796,-0.103414,-0.048706,-0.436805,-0.112108,0.000000,0.662262,-0.077819,0.234069,-0.072243,-0.009048,-0.212878,-0.824177,0.105907,0.087333,-0.431962,0.000000,0.356970,0.730033,-0.205390,-1.152721,1.145864,-0.585424,-0.943396,1.686508,-0.147714,-0.127439,-0.092965,-0.325992,0.000000,-0.094649,-0.560975,0.305923,0.607064,,0.443504,0.559847,0.121843,0.821865,-0.328265,0.254999,-0.605311
10/04/2017,-0.027455,-0.021869,0.000000,0.370182,0.701283,0.130822,0.000000,-0.228102,0.032712,0.268038,0.093130,0.063349,0.123369,0.822629,,0.245499,-0.028227,-0.056694,0.241637,-0.018641,0.054172,-0.155588,-0.026075,-0.093432,0.108728,-0.009047,0.189536,1.161520,0.148582,0.231052,0.028015,0.039906,0.000000,-0.056151,-0.014710,0.240733,0.052189,0.180209,0.236407,-0.982318,0.102344,-0.042462,-0.046266,0.026134,0.016585,0.018787,0.246222,0.524027,0.034288,,0.315374,0.518557,-0.151987,-0.583633,-0.155253,-0.307733,0.051933
10/03/2017,0.082315,0.000000,0.048914,0.000000,2.230815,0.065841,0.059881,-0.227583,-0.065381,0.153478,-0.240002,0.202750,0.141312,1.309250,,0.081900,0.141220,0.129879,0.318050,0.093413,0.027093,-0.503100,-0.026069,-0.140221,0.127092,0.000000,-0.059114,1.297728,0.329906,0.275781,0.097430,0.079742,-0.177904,-0.251874,0.132178,0.096374,-0.363512,0.045339,0.118343,-0.293830,0.182416,0.287441,0.139382,0.130670,0.000000,0.113827,-0.402800,-0.215919,0.418157,,0.111349,0.421127,0.488665,-0.058303,0.000000,0.295223,0.121249
10/02/2017,0.061243,0.004347,-0.039020,-0.368816,1.006102,-0.844105,0.008674,1.337638,0.074900,-0.199069,-0.928400,-0.269425,-0.727462,0.029750,,-0.812348,-0.113754,-0.058495,-0.437332,0.088918,-0.000790,-0.882226,-0.271911,0.186951,-0.112680,0.003619,0.074559,0.454541,0.664429,0.668478,-0.180871,-0.051839,0.223140,0.421672,-0.045505,-0.574979,0.679613,-0.628114,-1.169591,-2.109300,-0.026255,0.090573,-0.061866,-0.215209,-0.028044,0.163190,-0.252912,1.617188,1.091611,,-0.185473,0.188729,1.709083,0.586626,-0.343820,0.417733,-0.267834
09/29/2017,-0.082062,0.043758,0.012106,0.105312,1.098387,-0.517291,0.205984,-0.687128,0.000000,-0.127345,-0.252545,-0.314998,0.325305,-0.855681,,-0.404531,-0.121855,-0.145438,-0.225644,-0.074645,-0.009030,0.115207,0.026004,0.328510,-0.306589,0.018211,-0.023600,-0.181689,0.930185,0.864951,0.222996,-0.149131,-0.222643,-0.419902,-0.080525,0.675389,-0.778214,0.134815,0.529101,0.000000,-0.033947,0.298304,-0.108246,0.169416,-0.032946,-0.189011,0.000000,0.803431,0.000000,,-0.073806,0.378888,0.311647,-0.321642,0.000000,0.121425,0.128965
09/28/2017,0.009197,-0.021874,0.024377,-0.052628,1.152379,0.000000,-0.503954,-0.591985,0.032726,0.000000,0.291740,0.328724,0.264481,0.923448,,0.243309,-0.018797,0.056586,-0.090219,0.102803,-0.036108,0.269547,0.000000,-0.046599,-0.018147,0.008937,0.011801,0.242840,0.642202,0.736857,-0.277970,-0.019925,0.267570,0.647772,-0.109730,-1.144533,0.942611,0.270359,0.294811,-0.855513,0.113599,0.213416,0.030909,-0.311702,0.032956,0.056687,0.315054,1.669247,0.709109,,0.000000,-0.122346,0.124885,-0.494553,0.000000,-0.510067,-0.222966
09/27/2017,-0.290992,0.000000,-0.304179,-0.420475,-0.164071,-0.385901,-2.252268,0.872761,0.000000,-0.405878,-0.435620,-1.001685,-0.368834,-1.554446,,-1.043339,-0.512995,-0.201893,-1.085643,-0.270194,-0.269742,0.503077,-0.154509,0.994872,-0.305597,-0.008936,-0.011800,-1.109833,2.259587,2.421718,-1.477448,-0.019921,1.541207,3.018079,-0.819917,-4.464726,4.542940,-0.448754,-0.527859,0.285987,-0.283506,-0.857123,-0.231185,-1.370575,-0.049308,-0.151261,-0.574327,1.465427,0.000000,,-0.771659,0.548338,0.977047,0.732638,-0.308483,0.989562,-2.548270
09/26/2017,-0.036317,0.000000,-0.048740,-0.470053,0.123454,-0.893147,-0.256412,0.974026,-0.032715,-0.630012,-0.106914,0.200739,-0.480817,-2.431904,,-1.111111,-0.083851,-0.072512,-0.444216,0.000000,-0.027001,0.193887,-0.025532,0.380126,-0.107942,0.027042,-0.023738,-1.622722,0.122572,-0.157791,-0.177431,-0.059593,0.181996,0.437281,-0.115888,-0.272572,0.661128,-0.490837,-0.929692,-0.568720,-0.022588,-0.010617,-0.107912,-0.191754,-0.016570,-0.037557,-0.588234,-1.186926,-0.441081,,0.239347,0.011207,-0.533001,0.412109,-0.950603,1.027116,-0.158440
09/25/2017,0.236794,0.000000,0.219414,-0.571694,-2.251937,1.686790,0.968643,1.650165,0.097810,-0.401700,-0.410462,-0.325290,-0.806412,1.924683,,1.042502,0.299042,0.145430,0.476086,0.149262,0.054031,2.300665,0.205957,-0.707963,0.288513,-0.008938,0.059309,1.194348,-2.009499,-1.927974,0.659724,0.119329,-0.632158,-1.266264,0.451211,1.709794,-1.944812,-0.444043,-1.600915,3.027344,0.250028,0.521231,0.154259,0.630379,0.065913,0.132357,-0.704504,0.405241,0.176491,,0.723469,-0.212233,0.885806,2.845002,0.255276,-0.747587,0.960101
09/22/2017,0.072858,0.000000,0.097790,0.312753,-0.639160,0.390423,0.293106,-0.235183,-0.032736,0.504626,-0.378649,0.000000,0.086783,1.599845,,0.483481,0.177890,0.105132,0.508200,0.056005,0.117090,1.082614,-0.103085,-0.376557,0.252903,0.008938,0.023614,1.731336,0.405727,0.508490,0.248099,0.089711,-0.314818,-0.600537,0.226306,0.838786,-0.857036,0.000000,0.229226,-0.097561,0.193634,0.213121,0.139124,0.309731,0.000000,0.132532,0.275639,-0.803966,-0.352158,,-0.296067,0.167782,-1.033112,0.394997,0.962199,-0.915825,0.151802
09/21/2017,-0.018152,0.000000,-0.024521,0.000000,-1.340367,-0.388905,0.159321,-0.561272,0.032747,-1.184227,0.655495,-0.087353,0.374593,-1.055308,,-0.720000,-0.130899,-0.008109,-0.416947,0.037350,0.072064,-0.992458,-0.025552,-0.093915,-0.252265,0.000000,-0.023609,-0.693868,-0.186158,-0.429397,-0.055142,-0.039885,0.089953,0.114617,-0.080256,-0.278835,0.107151,0.312222,0.518433,0.097656,-0.057002,0.074766,0.015353,-0.064479,0.016583,-0.056697,0.189948,-0.680926,-0.211100,,-0.952301,-0.167501,-1.843231,0.152146,-0.137268,0.514417,-0.042217
09/20/2017,-0.081972,0.000000,-0.085273,0.000000,0.237153,0.850178,-0.041921,1.664289,0.000000,0.112309,-0.341762,-0.435394,-0.923425,-1.756939,,-0.793651,-0.196022,-0.201731,-0.059317,-0.177040,-0.197869,1.490730,-0.051503,0.614472,-0.251631,0.027275,-0.082849,-1.251124,-1.328137,-1.378116,0.041641,-0.168892,-0.044690,-0.171631,-0.131053,0.326331,-0.107036,-0.796018,-1.754386,1.285856,-0.170401,0.053388,-0.246587,0.051474,-0.082439,-0.132525,-0.017240,1.768435,0.353076,,-0.961285,0.336129,0.556079,2.113117,-1.570681,1.483720,0.559671
09/19/2017,-0.054618,0.043768,-0.073129,-0.104545,0.356999,-0.196107,-0.234117,-0.708215,0.065105,0.640583,0.289438,0.186908,0.389836,0.667029,,0.238663,-0.111805,-0.048337,-0.577158,0.000000,0.000000,-0.080530,-0.076982,0.189890,-0.161467,0.000000,0.011796,0.932298,0.259857,0.317009,-0.288870,-0.029788,0.225555,0.459440,-0.152661,-0.923736,0.700988,0.266045,0.626424,-0.589971,0.068270,0.021265,-0.107669,-0.244579,0.016572,0.019040,0.051747,-0.404662,0.514170,,-0.307389,-0.089684,0.653112,0.218055,-0.151771,0.082497,-0.346423
09/18/2017,-0.045534,0.000000,-0.072917,-0.414641,0.438083,-0.130311,-0.590430,-0.094340,0.000000,-0.475126,-0.688549,-0.889443,0.026026,-2.239210,,-1.023622,-0.389963,-0.088799,-0.162389,-0.065265,-0.027006,0.934589,-0.051437,0.571274,-0.036085,-0.027268,-0.059088,-2.234136,1.394146,1.310704,-0.451133,0.000000,0.498374,1.103340,-0.311555,-1.635651,1.644920,-0.221040,0.171135,-0.294118,-0.113601,-0.159941,-0.061542,-0.550298,-0.032929,-0.056845,-0.412813,0.442237,0.553125,,0.144863,-0.345838,0.814785,0.879608,-1.314695,1.084086,-0.846101
09/15/2017,-0.018116,0.000000,0.012075,0.312102,-0.672571,0.458566,-0.141137,-0.749064,0.000000,0.175367,1.365255,-0.012392,0.347858,-1.672288,,-0.470219,0.120824,-0.072486,0.133022,0.055921,-0.026998,0.244397,0.102980,-0.095122,-0.017552,0.009052,-0.011788,-0.989667,1.323692,1.745410,0.054788,-0.029779,0.045571,0.029236,-0.036285,0.090940,-0.164197,0.310312,0.805060,0.691017,0.022788,0.288631,-0.046232,0.025539,-0.016564,-0.018782,-0.342651,0.609746,0.003399,,0.174046,-0.280206,0.157301,0.160528,0.000000,0.601230,0.159371
09/14/2017,0.054613,-0.021879,0.060888,-0.103725,-0.979305,0.065109,0.609877,-0.233536,0.032779,0.012537,1.510388,-0.012259,0.209188,0.956612,,0.393391,0.018645,0.000000,0.595195,0.000000,0.000000,0.904235,0.051516,0.000000,0.107377,0.009166,0.011789,0.058288,0.435773,0.393711,0.329455,0.039676,-0.361647,-0.835585,0.116075,1.149960,-1.082956,0.445956,0.172811,0.595829,0.011317,0.300255,-0.046018,0.398448,-0.032913,0.018786,0.292418,-0.407023,0.338038,,-0.197764,-0.540281,-0.870014,0.504871,-0.890648,-0.223214,0.573887
09/13/2017,-0.100063,0.000000,-0.121627,-0.104219,-2.890732,0.460980,-0.490547,1.373106,-0.032768,-0.424064,-0.626686,-0.012389,-0.718147,-2.201391,,-0.703125,-0.204216,-0.104485,-0.444413,-0.009259,-0.116631,1.969826,-0.205642,0.574563,-0.143289,0.000000,-0.023716,-2.746936,0.022390,0.197351,-0.342111,-0.029782,0.362960,0.667091,-0.238768,-1.136886,1.150003,-0.664229,-1.531480,2.026342,-0.136245,0.010600,-0.076895,-0.358528,-0.032698,0.019033,-0.308632,0.011994,-0.035369,,0.053881,0.721774,-0.678745,2.789454,0.000000,0.744905,-0.587341
